Source,Target,Weight,Directed
511108000000000,172820000000000,1,true
511108000000000,273297000000000,1,true
511108000000000,203244000000000,1,true
511108000000000,105604000000,1,true
511108000000000,5758174322,1,true
511108000000000,262135000000,1,true
511108000000000,38123997728,1,true
511108000000000,9801962186,1,true
511108000000000,119162000000000,1,true
511108000000000,511108000000000,1,true
511108000000000,6723083591,1,true
172820000000000,346808000000000,1,true
172820000000000,172820000000000,1,true
273297000000000,1621920000000000,1,true
273297000000000,266201000000000,1,true
273297000000000,48719978490,1,true
273297000000000,111604000000000,1,true
273297000000000,213296000000000,1,true
273297000000000,111160000000000,1,true
273297000000000,106144000000000,1,true
273297000000000,7603586601,1,true
273297000000000,37871178334,1,true
273297000000000,181491000000000,1,true
273297000000000,80720843425,1,true
273297000000000,191494000000000,1,true
273297000000000,108065000000000,1,true
273297000000000,110985000000000,1,true
273297000000000,47144560930,1,true
273297000000000,96958258209,1,true
273297000000000,9801962186,1,true
273297000000000,6723083591,1,true
273297000000000,119162000000000,1,true
273297000000000,115039000000000,1,true
273297000000000,146489000000000,1,true
273297000000000,108212000000000,1,true
273297000000000,112831000000000,1,true
273297000000000,105604000000,1,true
273297000000000,133802000000000,1,true
273297000000000,158945000000000,1,true
273297000000000,41911143546,1,true
273297000000000,11218770329,1,true
273297000000000,104723000000000,1,true
273297000000000,58079349432,1,true
273297000000000,10098036614,1,true
273297000000000,185238000000000,1,true
273297000000000,157247000000000,1,true
203244000000000,20528438720,1,true
203244000000000,106977000000,1,true
203244000000000,511108000000000,1,true
262135000000,20528438720,1,true
262135000000,63489887485,1,true
262135000000,188695000000000,1,true
262135000000,109462000000,1,true
262135000000,454781000000000,1,true
262135000000,298312000000000,1,true
262135000000,203833000000000,1,true
262135000000,126574000000,1,true
262135000000,153333000000000,1,true
262135000000,122168000000,1,true
262135000000,233895000000000,1,true
262135000000,442215000000000,1,true
262135000000,173151000000000,1,true
262135000000,122238000000000,1,true
262135000000,115047000000000,1,true
262135000000,354485000000,1,true
262135000000,117576000000000,1,true
262135000000,206052000000000,1,true
262135000000,181675000000000,1,true
262135000000,160738000000,1,true
262135000000,165329000000,1,true
262135000000,318636000000,1,true
262135000000,109362000000000,1,true
262135000000,198992000000,1,true
262135000000,310311000000000,1,true
262135000000,155768000000000,1,true
262135000000,131177000000000,1,true
262135000000,178206000000000,1,true
262135000000,176402000000000,1,true
262135000000,216396000000,1,true
262135000000,126661000000000,1,true
262135000000,437973000000000,1,true
262135000000,187627000000000,1,true
262135000000,271948000000,1,true
262135000000,100332000000,1,true
262135000000,348169000000000,1,true
262135000000,229265000000000,1,true
262135000000,14696440021,1,true
262135000000,189667000000000,1,true
262135000000,280779000000,1,true
262135000000,356787000000000,1,true
262135000000,77701077034,1,true
262135000000,247448000000000,1,true
38123997728,463236000000000,1,true
38123997728,632547000000000,1,true
38123997728,20916311640,1,true
38123997728,136973000000,1,true
38123997728,371890000000000,1,true
38123997728,357308000000000,1,true
38123997728,187621000000000,1,true
38123997728,193442000000000,1,true
38123997728,791037000000000,1,true
38123997728,140713000000000,1,true
38123997728,545927000000000,1,true
38123997728,5873603189,1,true
38123997728,562821000000000,1,true
38123997728,18807449704,1,true
38123997728,335423000000,1,true
38123997728,60342206410,1,true
38123997728,280465000000,1,true
38123997728,26012002239,1,true
38123997728,118120000000000,1,true
38123997728,1203730000000000,1,true
38123997728,185870000000000,1,true
38123997728,1722980000000000,1,true
38123997728,252857000000000,1,true
38123997728,105629000000000,1,true
38123997728,102570000000000,1,true
38123997728,109442000000000,1,true
38123997728,104958000000,1,true
38123997728,367116000000000,1,true
38123997728,203906000000000,1,true
38123997728,705880000000000,1,true
38123997728,977981000000000,1,true
38123997728,128727000000000,1,true
38123997728,5601262769,1,true
38123997728,162962000000,1,true
38123997728,21359210842,1,true
38123997728,1466970000000000,1,true
38123997728,104063000000000,1,true
38123997728,112340000000000,1,true
38123997728,106021000000000,1,true
38123997728,23379598044,1,true
38123997728,8062627951,1,true
38123997728,22707976849,1,true
38123997728,204239000000000,1,true
38123997728,256258000000000,1,true
38123997728,165040000000000,1,true
38123997728,6665038402,1,true
38123997728,154335000000000,1,true
38123997728,240873000000000,1,true
38123997728,178137000000000,1,true
38123997728,134414000000,1,true
38123997728,196204000000000,1,true
38123997728,89946695959,1,true
38123997728,680023000000000,1,true
38123997728,93235358688,1,true
38123997728,84296203938,1,true
38123997728,66878763935,1,true
38123997728,67919847338,1,true
38123997728,192563000000000,1,true
38123997728,116599000000000,1,true
38123997728,337091000000000,1,true
38123997728,168069000000000,1,true
38123997728,27517455413,1,true
38123997728,179342000000000,1,true
38123997728,155975000000000,1,true
38123997728,109801000000000,1,true
38123997728,286785000000000,1,true
38123997728,122313000000,1,true
38123997728,41911143546,1,true
38123997728,6723083591,1,true
38123997728,96958258209,1,true
38123997728,119162000000000,1,true
9801962186,6723083591,1,true
119162000000000,152207000000000,1,true
119162000000000,29282006975,1,true
119162000000000,209663000000000,1,true
119162000000000,168069000000000,1,true
119162000000000,7270241753,1,true
119162000000000,5654204293,1,true
119162000000000,5758174322,1,true
119162000000000,6427302910,1,true
119162000000000,38123997728,1,true
119162000000000,9801962186,1,true
119162000000000,14696440021,1,true
119162000000000,6723083591,1,true
119162000000000,109801000000000,1,true
6723083591,106272000000000,1,true
6723083591,155676000000000,1,true
6723083591,245425000000000,1,true
6723083591,286785000000000,1,true
6723083591,119162000000000,1,true
6723083591,38123997728,1,true
6723083591,9801962186,1,true
346808000000000,172820000000000,1,true
266201000000000,38123997728,1,true
266201000000000,106021000000000,1,true
266201000000000,11218770329,1,true
266201000000000,115039000000000,1,true
266201000000000,47144560930,1,true
266201000000000,41911143546,1,true
266201000000000,9801962186,1,true
266201000000000,6723083591,1,true
213296000000000,106144000000000,1,true
111160000000000,168069000000000,1,true
111160000000000,11218770329,1,true
111160000000000,5758174322,1,true
111160000000000,185238000000000,1,true
111160000000000,41911143546,1,true
111160000000000,119162000000000,1,true
111160000000000,9801962186,1,true
111160000000000,6723083591,1,true
111160000000000,240873000000000,1,true
7603586601,37871178334,1,true
181491000000000,119162000000000,1,true
181491000000000,6723083591,1,true
181491000000000,14696440021,1,true
115039000000000,6723083591,1,true
115039000000000,9801962186,1,true
115039000000000,111604000000000,1,true
133802000000000,106021000000000,1,true
133802000000000,6723083591,1,true
133802000000000,112831000000000,1,true
133802000000000,266201000000000,1,true
133802000000000,104723000000000,1,true
158945000000000,110985000000000,1,true
158945000000000,47144560930,1,true
158945000000000,112831000000000,1,true
158945000000000,108065000000000,1,true
158945000000000,6723083591,1,true
158945000000000,9801962186,1,true
158945000000000,104723000000000,1,true
41911143546,111160000000000,1,true
41911143546,5758174322,1,true
41911143546,22707976849,1,true
41911143546,155975000000000,1,true
41911143546,106021000000000,1,true
41911143546,104958000000,1,true
41911143546,11218770329,1,true
41911143546,6723083591,1,true
11218770329,193442000000000,1,true
11218770329,106021000000000,1,true
11218770329,162962000000,1,true
11218770329,41911143546,1,true
104723000000000,266201000000000,1,true
104723000000000,133802000000000,1,true
104723000000000,158945000000000,1,true
104723000000000,119162000000000,1,true
104723000000000,106021000000000,1,true
104723000000000,146489000000000,1,true
104723000000000,41911143546,1,true
104723000000000,11218770329,1,true
104723000000000,104958000000,1,true
104723000000000,14696440021,1,true
104723000000000,58079349432,1,true
104723000000000,6723083591,1,true
10098036614,14696440021,1,true
10098036614,9801962186,1,true
10098036614,6723083591,1,true
106977000000,20528438720,1,true
106977000000,29282006975,1,true
106977000000,8062627951,1,true
106977000000,7270241753,1,true
106977000000,104958000000,1,true
109462000000,262135000000,1,true
109462000000,100332000000,1,true
109462000000,14696440021,1,true
109462000000,126661000000000,1,true
109462000000,126574000000,1,true
109462000000,198992000000,1,true
109462000000,165329000000,1,true
109462000000,187627000000000,1,true
454781000000000,262135000000,1,true
454781000000000,14696440021,1,true
298312000000000,262135000000,1,true
203833000000000,14696440021,1,true
203833000000000,8062627951,1,true
126574000000,262135000000,1,true
126574000000,14696440021,1,true
153333000000000,318636000000,1,true
153333000000000,187627000000000,1,true
153333000000000,165329000000,1,true
153333000000000,189667000000000,1,true
153333000000000,100332000000,1,true
153333000000000,115047000000000,1,true
153333000000000,262135000000,1,true
153333000000000,348169000000000,1,true
153333000000000,14696440021,1,true
233895000000000,155768000000000,1,true
233895000000000,181675000000000,1,true
233895000000000,206052000000000,1,true
233895000000000,117576000000000,1,true
233895000000000,165329000000,1,true
233895000000000,271948000000,1,true
233895000000000,122238000000000,1,true
233895000000000,187627000000000,1,true
233895000000000,109362000000000,1,true
233895000000000,348169000000000,1,true
233895000000000,262135000000,1,true
233895000000000,229265000000000,1,true
233895000000000,106021000000000,1,true
233895000000000,198992000000,1,true
233895000000000,189667000000000,1,true
233895000000000,131177000000000,1,true
233895000000000,354485000000,1,true
233895000000000,100332000000,1,true
233895000000000,126661000000000,1,true
233895000000000,41911143546,1,true
233895000000000,160738000000,1,true
233895000000000,14696440021,1,true
233895000000000,77701077034,1,true
173151000000000,262135000000,1,true
173151000000000,14696440021,1,true
173151000000000,206052000000000,1,true
122238000000000,109462000000,1,true
122238000000000,348169000000000,1,true
122238000000000,454781000000000,1,true
122238000000000,356787000000000,1,true
122238000000000,280779000000,1,true
122238000000000,229265000000000,1,true
122238000000000,187627000000000,1,true
122238000000000,437973000000000,1,true
122238000000000,216396000000,1,true
122238000000000,176402000000000,1,true
122238000000000,178206000000000,1,true
122238000000000,131177000000000,1,true
122238000000000,155768000000000,1,true
122238000000000,310311000000000,1,true
122238000000000,198992000000,1,true
122238000000000,109362000000000,1,true
122238000000000,318636000000,1,true
122238000000000,165329000000,1,true
122238000000000,160738000000,1,true
122238000000000,181675000000000,1,true
122238000000000,117576000000000,1,true
122238000000000,354485000000,1,true
122238000000000,115047000000000,1,true
122238000000000,173151000000000,1,true
122238000000000,233895000000000,1,true
122238000000000,153333000000000,1,true
122238000000000,203833000000000,1,true
122238000000000,126574000000,1,true
122238000000000,442215000000000,1,true
122238000000000,122168000000,1,true
122238000000000,206052000000000,1,true
122238000000000,189667000000000,1,true
122238000000000,126661000000000,1,true
122238000000000,271948000000,1,true
122238000000000,77701077034,1,true
122238000000000,247448000000000,1,true
122238000000000,100332000000,1,true
122238000000000,14696440021,1,true
122238000000000,262135000000,1,true
115047000000000,109462000000,1,true
115047000000000,247448000000000,1,true
115047000000000,77701077034,1,true
115047000000000,356787000000000,1,true
115047000000000,280779000000,1,true
115047000000000,229265000000000,1,true
115047000000000,271948000000,1,true
115047000000000,437973000000000,1,true
115047000000000,126661000000000,1,true
115047000000000,216396000000,1,true
115047000000000,176402000000000,1,true
115047000000000,178206000000000,1,true
115047000000000,131177000000000,1,true
115047000000000,155768000000000,1,true
115047000000000,310311000000000,1,true
115047000000000,198992000000,1,true
115047000000000,109362000000000,1,true
115047000000000,160738000000,1,true
115047000000000,181675000000000,1,true
115047000000000,206052000000000,1,true
115047000000000,117576000000000,1,true
115047000000000,354485000000,1,true
115047000000000,173151000000000,1,true
115047000000000,442215000000000,1,true
115047000000000,233895000000000,1,true
115047000000000,122168000000,1,true
115047000000000,126574000000,1,true
115047000000000,203833000000000,1,true
115047000000000,454781000000000,1,true
115047000000000,318636000000,1,true
115047000000000,122238000000000,1,true
115047000000000,187627000000000,1,true
115047000000000,165329000000,1,true
115047000000000,189667000000000,1,true
115047000000000,153333000000000,1,true
115047000000000,262135000000,1,true
115047000000000,348169000000000,1,true
115047000000000,100332000000,1,true
115047000000000,14696440021,1,true
354485000000,77701077034,1,true
354485000000,160738000000,1,true
354485000000,14696440021,1,true
117576000000000,155768000000000,1,true
117576000000000,176402000000000,1,true
117576000000000,187627000000000,1,true
117576000000000,14696440021,1,true
117576000000000,198992000000,1,true
117576000000000,165329000000,1,true
117576000000000,77701077034,1,true
117576000000000,318636000000,1,true
117576000000000,160738000000,1,true
117576000000000,126574000000,1,true
117576000000000,126661000000000,1,true
117576000000000,262135000000,1,true
206052000000000,173151000000000,1,true
160738000000,280779000000,1,true
160738000000,14696440021,1,true
160738000000,247448000000000,1,true
160738000000,100332000000,1,true
160738000000,354485000000,1,true
160738000000,262135000000,1,true
160738000000,198992000000,1,true
160738000000,77701077034,1,true
160738000000,131177000000000,1,true
160738000000,165329000000,1,true
165329000000,348169000000000,1,true
165329000000,131177000000000,1,true
165329000000,14696440021,1,true
318636000000,247448000000000,1,true
318636000000,115047000000000,1,true
318636000000,187627000000000,1,true
318636000000,6723083591,1,true
318636000000,100332000000,1,true
318636000000,348169000000000,1,true
318636000000,160738000000,1,true
318636000000,77701077034,1,true
318636000000,437973000000000,1,true
318636000000,198992000000,1,true
318636000000,233895000000000,1,true
318636000000,126661000000000,1,true
318636000000,271948000000,1,true
318636000000,354485000000,1,true
318636000000,131177000000000,1,true
318636000000,14696440021,1,true
318636000000,262135000000,1,true
109362000000000,229265000000000,1,true
109362000000000,100332000000,1,true
109362000000000,262135000000,1,true
109362000000000,14696440021,1,true
198992000000,233895000000000,1,true
198992000000,155768000000000,1,true
198992000000,6427302910,1,true
198992000000,109362000000000,1,true
198992000000,348169000000000,1,true
198992000000,229265000000000,1,true
198992000000,354485000000,1,true
198992000000,6723083591,1,true
198992000000,9801962186,1,true
198992000000,106021000000000,1,true
198992000000,165329000000,1,true
198992000000,178206000000000,1,true
198992000000,176402000000000,1,true
198992000000,318636000000,1,true
198992000000,187627000000000,1,true
198992000000,117576000000000,1,true
198992000000,216396000000,1,true
198992000000,126661000000000,1,true
198992000000,271948000000,1,true
198992000000,126574000000,1,true
198992000000,247448000000000,1,true
198992000000,131177000000000,1,true
198992000000,262135000000,1,true
198992000000,100332000000,1,true
198992000000,14696440021,1,true
198992000000,77701077034,1,true
198992000000,160738000000,1,true
310311000000000,100332000000,1,true
310311000000000,348169000000000,1,true
310311000000000,262135000000,1,true
310311000000000,14696440021,1,true
155768000000000,100332000000,1,true
155768000000000,77701077034,1,true
155768000000000,247448000000000,1,true
155768000000000,122168000000,1,true
155768000000000,14696440021,1,true
155768000000000,262135000000,1,true
131177000000000,247448000000000,1,true
131177000000000,354485000000,1,true
131177000000000,178206000000000,1,true
131177000000000,176402000000000,1,true
131177000000000,126661000000000,1,true
131177000000000,318636000000,1,true
131177000000000,126574000000,1,true
131177000000000,165329000000,1,true
131177000000000,187627000000000,1,true
131177000000000,117576000000000,1,true
131177000000000,271948000000,1,true
131177000000000,160738000000,1,true
131177000000000,77701077034,1,true
131177000000000,216396000000,1,true
131177000000000,198992000000,1,true
131177000000000,14696440021,1,true
178206000000000,437973000000000,1,true
178206000000000,176402000000000,1,true
178206000000000,117576000000000,1,true
178206000000000,187627000000000,1,true
178206000000000,126661000000000,1,true
178206000000000,262135000000,1,true
176402000000000,14696440021,1,true
176402000000000,178206000000000,1,true
176402000000000,117576000000000,1,true
176402000000000,126661000000000,1,true
176402000000000,160738000000,1,true
216396000000,229265000000000,1,true
216396000000,100332000000,1,true
216396000000,247448000000000,1,true
216396000000,356787000000000,1,true
216396000000,348169000000000,1,true
216396000000,189667000000000,1,true
216396000000,262135000000,1,true
216396000000,14696440021,1,true
126661000000000,454781000000000,1,true
126661000000000,437973000000000,1,true
126661000000000,442215000000000,1,true
126661000000000,153333000000000,1,true
126661000000000,181675000000000,1,true
126661000000000,310311000000000,1,true
126661000000000,280779000000,1,true
126661000000000,189667000000000,1,true
126661000000000,122168000000,1,true
126661000000000,356787000000000,1,true
126661000000000,173151000000000,1,true
126661000000000,109362000000000,1,true
126661000000000,233895000000000,1,true
126661000000000,348169000000000,1,true
126661000000000,229265000000000,1,true
126661000000000,262135000000,1,true
126661000000000,131177000000000,1,true
126661000000000,271948000000,1,true
126661000000000,318636000000,1,true
126661000000000,155768000000000,1,true
126661000000000,122238000000000,1,true
126661000000000,216396000000,1,true
126661000000000,206052000000000,1,true
126661000000000,354485000000,1,true
126661000000000,126574000000,1,true
126661000000000,165329000000,1,true
126661000000000,160738000000,1,true
126661000000000,198992000000,1,true
126661000000000,109462000000,1,true
126661000000000,187627000000000,1,true
126661000000000,117576000000000,1,true
126661000000000,247448000000000,1,true
126661000000000,77701077034,1,true
126661000000000,100332000000,1,true
126661000000000,176402000000000,1,true
126661000000000,178206000000000,1,true
126661000000000,14696440021,1,true
437973000000000,155768000000000,1,true
437973000000000,348169000000000,1,true
437973000000000,126661000000000,1,true
437973000000000,262135000000,1,true
437973000000000,14696440021,1,true
437973000000000,178206000000000,1,true
187627000000000,115047000000000,1,true
187627000000000,271948000000,1,true
187627000000000,203833000000000,1,true
187627000000000,189667000000000,1,true
187627000000000,216396000000,1,true
187627000000000,178206000000000,1,true
187627000000000,176402000000000,1,true
187627000000000,229265000000000,1,true
187627000000000,348169000000000,1,true
187627000000000,109462000000,1,true
187627000000000,198992000000,1,true
187627000000000,160738000000,1,true
187627000000000,165329000000,1,true
187627000000000,126661000000000,1,true
187627000000000,126574000000,1,true
187627000000000,354485000000,1,true
187627000000000,262135000000,1,true
187627000000000,14696440021,1,true
271948000000,77701077034,1,true
271948000000,160738000000,1,true
271948000000,198992000000,1,true
271948000000,14696440021,1,true
229265000000000,348169000000000,1,true
229265000000000,262135000000,1,true
229265000000000,100332000000,1,true
229265000000000,14696440021,1,true
229265000000000,109362000000000,1,true
14696440021,247448000000000,1,true
14696440021,77701077034,1,true
14696440021,262135000000,1,true
14696440021,100332000000,1,true
280779000000,14696440021,1,true
280779000000,247448000000000,1,true
280779000000,262135000000,1,true
280779000000,348169000000000,1,true
77701077034,354485000000,1,true
77701077034,271948000000,1,true
77701077034,160738000000,1,true
77701077034,198992000000,1,true
77701077034,233895000000000,1,true
77701077034,131177000000000,1,true
77701077034,348169000000000,1,true
77701077034,14696440021,1,true
371890000000000,11218770329,1,true
371890000000000,162962000000,1,true
371890000000000,5873603189,1,true
193442000000000,162962000000,1,true
193442000000000,8062627951,1,true
791037000000000,562821000000000,1,true
5873603189,7270241753,1,true
562821000000000,38123997728,1,true
562821000000000,791037000000000,1,true
562821000000000,5873603189,1,true
18807449704,335423000000,1,true
335423000000,18807449704,1,true
60342206410,18807449704,1,true
280465000000,357308000000000,1,true
26012002239,7270241753,1,true
185870000000000,38123997728,1,true
252857000000000,367116000000000,1,true
104958000000,7270241753,1,true
104958000000,5654204293,1,true
162962000000,106021000000000,1,true
162962000000,371890000000000,1,true
162962000000,5873603189,1,true
162962000000,41911143546,1,true
162962000000,11218770329,1,true
162962000000,110985000000000,1,true
21359210842,104063000000000,1,true
21359210842,252857000000000,1,true
22707976849,26012002239,1,true
178137000000000,196204000000000,1,true
178137000000000,119162000000000,1,true
178137000000000,38123997728,1,true
178137000000000,14696440021,1,true
178137000000000,106021000000000,1,true
178137000000000,6723083591,1,true
178137000000000,154335000000000,1,true
178137000000000,240873000000000,1,true
196204000000000,155975000000000,1,true
196204000000000,9801962186,1,true
196204000000000,38123997728,1,true
196204000000000,116599000000000,1,true
196204000000000,168069000000000,1,true
196204000000000,109801000000000,1,true
196204000000000,119162000000000,1,true
196204000000000,286785000000000,1,true
196204000000000,122313000000,1,true
196204000000000,6723083591,1,true
84296203938,89946695959,1,true
84296203938,93235358688,1,true
66878763935,93235358688,1,true
67919847338,84296203938,1,true
67919847338,66878763935,1,true
67919847338,93235358688,1,true
116599000000000,155975000000000,1,true
337091000000000,209663000000000,1,true
337091000000000,109801000000000,1,true
337091000000000,11218770329,1,true
337091000000000,152207000000000,1,true
337091000000000,5758174322,1,true
337091000000000,119162000000000,1,true
337091000000000,47144560930,1,true
337091000000000,168069000000000,1,true
337091000000000,37871178334,1,true
168069000000000,109801000000000,1,true
168069000000000,119162000000000,1,true
179342000000000,6723083591,1,true
109801000000000,209663000000000,1,true
109801000000000,168069000000000,1,true
109801000000000,119162000000000,1,true
286785000000000,106272000000000,1,true
286785000000000,122313000000,1,true
286785000000000,119162000000000,1,true
286785000000000,8062627951,1,true
286785000000000,5758174322,1,true
286785000000000,9801962186,1,true
286785000000000,6723083591,1,true
152207000000000,109801000000000,1,true
152207000000000,119162000000000,1,true
29282006975,20528438720,1,true
209663000000000,119162000000000,1,true
209663000000000,104958000000,1,true
209663000000000,14696440021,1,true
209663000000000,41911143546,1,true
209663000000000,109801000000000,1,true
209663000000000,9801962186,1,true
209663000000000,168069000000000,1,true
7270241753,5654204293,1,true
7270241753,104958000000,1,true
106272000000000,119162000000000,1,true
106272000000000,9801962186,1,true
106272000000000,286785000000000,1,true
106272000000000,6723083591,1,true
